"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Allure_Examples","Make_payment","","2","0","16","0","1"
"Allure_Examples","Make_payment","Click Button and select 'Pay with Debit/Credit Card'","0","0","1","0","0"
